Country,CAF World Giving Index ranking,CAF World Giving Index score (%),Helping a stranger ranking,Helping a stranger (%),Donating money ranking,Donating money (%),"Volunteering time
ranking",Volunteering time (%)
United States of America,1,58,3,72,11,61,5,42
Myanmar,2,58,49,49,1,81,3,43
New Zealand,3,57,10,64,9,65,6,41
Australia,4,56,11,64,8,68,12,37
Ireland,5,56,16,62,7,69,10,38
Canada,6,55,9,64,10,63,11,37
United Kingdom,7,54,19,60,2,71,25,30
Netherlands,8,53,37,53,5,71,14,36
Sri Lanka,9,51,29,55,19,50,1,46
Indonesia,10,50,86,42,6,69,7,40
Kenya,11,47,4,68,34,38,13,37
Malta,12,47,70,45,3,71,43,24
Switzerland,13,45,58,48,13,56,22,32
United Arab Emirates,14,45,13,63,16,52,61,19
Austria,15,45,36,53,15,53,32,27
Denmark,16,44,42,52,12,58,50,22
Liberia,17,44,1,77,109,12,4,43
Germany,18,43,26,56,20,49,36,26
Turkmenistan,19,43,35,53,43,32,2,43
Sierra Leone,20,42,2,74,79,21,17,33
Thailand,21,42,89,41,4,71,79,15
Nigeria,22,42,7,66,56,27,21,32
Iran,23,41,25,56,22,48,55,20
Cyprus,24,41,33,53,25,44,41,25
Finland,25,41,41,52,27,42,31,28
Uzbekistan,25,41,31,54,36,35,18,33
Guatemala,26,40,28,55,42,32,15,34
Haiti,27,40,74,44,23,45,24,30
Luxembourg,28,40,97,39,17,51,27,29
Sweden,29,40,46,51,14,55,96,13
Malaysia,30,39,73,44,24,45,29,28
Dominican Republic,31,39,20,59,58,25,19,32
Zambia,32,39,5,67,72,22,30,28
Philippines,33,39,32,54,63,24,9,38
Israel,34,39,76,43,18,51,48,22
Uganda,35,38,6,66,69,22,35,26
Malawi,36,38,10,64,77,21,28,29
Mongolia,37,38,90,41,29,40,16,33
Ghana,38,38,22,58,60,25,26,30
Costa Rica,39,38,21,59,44,31,47,22
Slovenia,40,38,71,44,35,36,20,32
Chile,41,37,34,53,26,44,83,15
Belgium,42,36,72,44,30,39,39,25
Honduras,43,36,56,49,49,28,23,31
Tajikistan,44,36,54,49,89,19,8,39
South Africa,45,36,12,63,94,18,37,25
Singapore,46,35,96,39,21,48,59,19
Panama,47,35,60,47,43,32,38,25
